class,description
2,"On Friday, just days before the presidential election, the Bush administration agreed to consider a petition from a coalition of embattled textile manufacturers that would limit some imports from China."
3,"This is a big year for protest graphics, one of the oldest art forms in the United States and one that is booming thanks in part to the Internet."
0,"AP - Detroit has a Greektown section that tempts visitors with moussaka and baklava, and a Mexicantown neighborhood with Latin American groceries and restaurants. Now, politicians are pushing for a business district identified with the city's biggest minority group  #151; blacks."
0," MOSCOW (Reuters) - Investigators examined flight recorders  Thursday from Russia's mystery double air crash in which 89  people died, but one official doubted they would be of any use."
0,UK Prime Minister Tony Blair this week will put efforts to curb disease and poverty in Africa at the center of the agenda of the Group of Eight industrial nations next year.
1,"Former Newton South High School basketball and golf captain Matt Stehle is now a junior at Harvard University, where the 6-foot-8-inch forward was leading the men's basketball team in rebounding and steals and was second in scoring through six games."
2,MELBOURNE (Dow Jones)--Australian drinks company Foster #39;s Group Ltd. (FGL.AU) said Tuesday that annual net profit rose 73 as gains from the sale of its local pub assets 
3,"Now that rocketmen in the desert have soared into space and captured the St. Louis-based Ansari X Prize, commercial space travel seems as close as ever."
2,"US retail sales unexpectedly increased for a third month in November, easing concern that consumers will be tight-fisted this holiday shopping season."
1,"DIVIDED down the years by the rawest rivalry in English football, Manchester United and Liverpool found their histories converging at the weekend as both clubs braced themselves for imminent takeover."
0,"AP - Two Japanese electronics makers reported improved fiscal first-half earnings Friday, with profits at Hitachi Ltd. surging nearly eight-fold, while Toshiba Corp. rebounded to profitability from a loss the previous year."
0,"Some 450 right-wing paramilitary fighters left Colombia's crowded battlefields, turning in their weapons and asking society to let them back into its fold."
2,Qwest Communications International Inc. yesterday agreed to pay \$250 million to settle Securities and Exchange Commission charges that the company fraudulently booked \$3.
0,Police say they are not assuming that a car driver committing suicide caused Saturday's rail crash.
3,"OCTOBER 05, 2004 (IDG NEWS SERVICE) - PalmOne Inc. Monday unveiled a new version of its Tungsten-class personal digital assistant that is designed to protect data even when the device #39;s battery dies."
0,"PARIS -- Three years after the Sept. 11 attacks forced the West to take a collective crash course on Islamic terrorism, the myths endure: The militants are impoverished and uneducated. Lifelong religious fervor drives them to embrace jihad. Al Qaeda aggressively recruits and brainwashes the men."
3,Batch scheduler revamp promises to fend off application failures and boosts BMC's service management push.
3,"November 09, 2004 - In a surprise move, Sony Computer Entertainment and Polyphony Digital revealed today that Gran Turismo 4 will feature limited EyeToy support."
0,Wildlilfe authorities in Australia are concerned by the beaching of dozens of whales in two separate incidents in waters off the state of Tasmania.
2," SINGAPORE (Reuters) - Investors bought shares in Asian  exporters and electronics firms such as Fujitsu Ltd. on  Tuesday, buoyed by a favorable outlook from U.S. technology  bellwethers and a slide in oil prices."
1,Major League Baseball #39;s Vladimir Guerrero of the Anaheim Angels has wrapped up his inaugural season in the American League by winning the Most Valuable Player Award.
3,Sony said yesterday that it has built a desktop computer with 1 TB of data storage and seven analog television tuners. The PC will be able to record a week #39;s worth of programming on six channels at the same time.
1,"inally, you can see the corner. It #39;s right there, waiting with all of its trappings. Get past it and you #39;re downwind. Get past it and everything is different."
1,"IRVING, Texas - Browns quarterback Jeff Garcia didn #39;t need a complicated formula to tell him he played the worst game of his career."
0,NEW YORK - Actor Michael J. Fox is returning to TV - in a commercial praising Democratic presidential candidate John Kerry for his stance on stem cell research...
1,LeBron James slams down a windmill dunk late in the second quarter and Cleveland never looks back in a 106-89 victory over Charlotte on Thursday night.
0,"In the Darfur region of western Sudan, nearly 10,000 people per month have lost their lives from malnutrition and disease adding up to 70,000 deaths since the crisis started in February of 2003."
2,Reuters - Finance officials from all over the\globe gathered under heavy guard on Sunday to push for a\stepped-up fight against terror financing while warning the\poor must not be forgotten.
1,"David Weathers pitched five strong innings in his first start for six years, leading the Florida Marlins to a 5-2 win over the Chicago Cubs and a split of their National League doubleheader in Miami Monday."
0,"World News London, Sep 26 : British Prime Minister Tony Blair reiterated Sunday his government would do everything it could to win the release of a Briton taken hostage in Iraq, Xinhua reports."
1,"The Yankees, Diamondbacks and Dodgers are still working to complete a deal that would put Randy Johnson in pinstripes, send Shawn Green to Arizona and land Javy Vazquez in Los Angeles."
3,"By MAY WONG    SAN JOSE, Calif. (AP) -- Personal computer giant Hewlett-Packard Co..."
0,"US-backed interim leader Hamid Karzai was nearing victory in Afghanistans presidential vote, election officials said, as the number of ballots counted passed the half way mark."
1,"For everyone watching, from the fans and players to the national press, this is the drive they came to see. Rookie Eli Manning, the NFL #39;s number one pick making his first start for the Giants, barked out signals "
0, ISLAMABAD (Reuters) - Islamic militants holding two Chinese  engineers hostage in Pakistan threatened to kill one on Monday  unless security forces ended a siege of their hideout.
